"아이디","성별","생년","연령","거주지","독서 연상 이미지","독서범위 동의 정도_만화책","독서범위 동의 정도_웹툰","독서범위 동의 정도_웹소설","독서범위 동의 정도_정보, 학술잡지","독서범위 동의 정도_예술, 취미분야 잡지","독서 역량_사회생활에 도움","독서 역량_개인역량을 향상","독서 역량_업무/학업에 실질적 도움","독서사업이 독서량 증가에 도움이 된다","독서사업 / 정책이 지속되어야 한다","독서사업 / 정책이 지속되어야 한다는 응답 이유","독서사업 / 정책이 지속되어야 한다는 응답 이유","독서사업 / 정책이 지속되어야 한다는 응답 이유","지난 1년간 독서량(종이책)_일반도서","지난 1년간 독서량(종이책)_만화","지난 1년간 독서량(종이책)_잡지","지난 1년간 독서량(전자책)_일반도서","지난 1년간 독서량(전자책)_만화","지난 1년간 독서량(전자책)_잡지","일주일 총 독서시간(시간)","일주일 총 독서시간(분)","정보/자료 수집방법","정보/자료 수집방법","정보/자료 수집방법_기타","여가시간 활용","여가시간 활용","여가시간 활용 _기타","최근 1년 독서 빈도","독서 주된 이유","독서 주된 이유","독서 주된 이유_기타","독서 방식","독서 장소","독서 장소_기타","독서 장소 선호 사유","독서 장소 선호 사유","독서를 하게 되는 상황","독서를 하게 되는 상황","독서를 하게 되는 상황_기타","독서하는 매체","선호하는 도서 분야","선호하는 도서 분야","선호하는 도서 분야_기타","도서에 대한 주변과의 소통","1년전 대비 독서량 증감","독서량 증가&감소 이유","독서량 증가&감소 이유","독서량 증가&감소 이유_기타","책을 구하는 방법","책을 구하는 방법_기타","책에 대한 정보 수집 방법","책에 대한 정보 수집 방법","책에 대한 정보 수집 방법_기타","도서 결정 기준","도서 결정 기준","도서 결정 기준_기타","책 선호 형태(종이책 / 전차책)","종이책과 전자책 선호 이유_책의 양","종이책과 전자책 선호 이유_주제 다양성","종이책과 전자책 선호 이유_입수 절차","종이책과 전자책 선호 이유_입수 신속성","종이책과 전자책 선호 이유_휴대성","종이책과 전자책 선호 이유_가독성","독서시 이용 책의 형태","전자책 이용_주로 사용 하는 기기","전자책 이용_주로 이용하는 플랫폼","전자책 이용_주로 이용하는 플랫폼_기타","전자책 이용_전자책 이용 횟수","전자책 이용_많이 있는 전자책 분야","전자책 이용_많이 있는 전자책 분야","전자책 이용_많이 있는 전자책 분야_기타","독서 프로그램 참여 경험","참여경험자_독서 프로그램 참여 기관","참여경험자_독서 프로그램 참여 기관","참여경험자_독서 프로그램 참여 기관","참여경험자_독서 프로그램 참여 기관_기타","참여경험자_독서 프로그램 참여 기관 선택 이유","참여경험자_독서 프로그램 참여 기관 선택 이유","참여경험자_독서 프로그램 참여 기관 선택 이유","참여경험자_참여해본 독서 프로그램","참여경험자_참여해본 독서 프로그램","참여경험자_참여해본 독서 프로그램","참여경험자_참여해본 독서 프로그램","참여경험자_참여해본 독서 프로그램","참여경험자_참여해본 독서 프로그램_기타","참여경험자_독서 프로그램 참여 계기","참여경험자_독서 프로그램 참여 계기_기타","비참여자_비참여 이유","비참여자_비참여 이유_기타","도서관 운영 문화 프로그램 참여 경험","도서관 문화프로그램 동의정도_종류 다양","도서관 문화프로그램 동의정도_이용자 요구 반영","도서관 문화프로그램 동의정도_독서 증진에 도움","도서관 문화프로그램 동의정도_도서관 이용에 긍정적 작용","도서관 문화프로그램 동의정도_다른 기관과 차별화","도서관 문화프로그램 동의정도_전반적 수준이 높고 전문적","도서관 문화 프로그램 전반적 만족도","도서관에서 프로그램 개발 운영시 고려점","도서관에서 프로그램 개발 운영시 고려점_기타","개설 희망 문화프로그램 의견","개설 희망 문화프로그램 의견","최근 1년 도서관 이용 횟수","도서관 이용 주된 목적","최근 1년간 주 이용 도서관 유형","작은도서관 이용자_ 주 이용 작은도서관 형태","작은도서관 이용자_작은 도서관 이용 이유","도서관 환경_환경이 쾌적하다","도서관 환경_냉/난방시설 가동","도서관 환경_조명 적합도","도서관 환경_접근 용이성","도서관 직원_직원 응대태도","도서관 직원_업무 수행을 위한 전문성","도사관 시설/관리/서비스_도서양 충분성","도사관 시설/관리/서비스_도서 구성 비율 적정성","도사관 시설/관리/서비스_최선 서적을 적절히 보유","도사관 시설/관리/서비스_대출 반납절차 편리","도사관 시설/관리/서비스_이용에 대한 정보 수집 용이","최근 1년간 주 이용 도서관 만족도","도서관 이용 만족&불만족 사유","도서관 이용 만족&불만족 사유","주 이용 도서관 재 이용 의향","주 이용 도서관 추천 의향","최근 1년간 동네 책방 이용 경험","동네책방 이용 이유","동네책방 이용 이유","동네책방 이용 이유_기타","기업형 중고서점 이용 경험","기업형 중고서점 이용 이유","기업형 중고서점 이용 이유","기업형 중고서점 이용 이유_기타","헌책방 이용 경험","헌책방 이용 이유","헌책방 이용 이유","헌책방 이용 이유_기타","독서 방해 요인","독서 방해 요인","독서 방해 요인_기타","기대하는 도서관 역할","기대하는 도서관 역할","기대하는 도서관 역할_기타","현재 도서관 평가","현재 도서관 평가","현재 도서관 평가_기타","도서관 사회 기여도_지역사회에 대한 이해도 향상","도서관 사회 기여도_지역사회에 대한 소속감 강화","도서관 사회 기여도_사회 취약계층 등 정보접근 지원","도서관 사회 기여도_지식격차 완화","도서관 사회 기여도_공동체 의힉 함양","향후 도서관 서비스 이용 의향","향후 도서관 이용 의향 이유","향후 도서관 이용 의향 이유","향후 도서관 이용 의향 이유_기타","향후 도서관 비이용 의향 이유","향후 도서관 비이용 의향 이유","향후 도서관 비이용 의향 이유_기타","독서문화 향상을 위해 서울시 추진 독서 정책 방향","독서문화 향상을 위해 서울시 추진 독서 정책 방향","독서문화 향상을 위해 서울시 추진 독서 정책 방향_기타","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","서울시 독서진흥 사업 인지","독서사업 필요 프로그램","독서사업 필요 프로그램","참여경험_책 읽는 서울","참여경험_한 도서관 한 책 읽기","참여경험_생애주기별 독서","참여경험_어르신 치매예방독서 토론","참여경험_독서소외계층","참여경험_도서관 독서 동아리","참여경험_서울 북 페스티벌","서울시민이 책과 가까워지기 위한 독서진흥 정책 등 아이디어","서울시민이 책과 가까워지기 위한 독서진흥 정책 등 아이디어","자녀유무","학력","직업","소득","A06","AREA1"
"810          ","1            ","1990         ","2            ","24           ","97           ","             ","5            ","5            ","5            ","6            ","6            ","5            ","5            ","6            ","5            ","5            ","69           ","             ","5            ","0            ","0            ","0            ","0            ","0            ","2            ","0            ","1            ","4            ","             ","2            ","8            ","             ","2            ","6            ","4            ","             ","2            ","1            ","             ","46           ","             ","2            ","1            ","             ","1            ","2            ","1            ","             ","5            ","3            ","             ","             ","                                        ","1            ","             ","1            ","2            ","             ","1            ","4            ","             ","1            ","5            ","5            ","5            ","4            ","4            ","3            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","5            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","1            ","                                        ","99           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","1            ","1            ","4            ","             ","2            ","             ","             ","             ","2            ","3            ","                                        ","2            ","1            ","             ","4            ","5            ","                                        ","6            ","6            ","5            ","6            ","5            ","5            ","5            ","4            ","             ","             ","             ","                                        ","6            ","3            ","             ","5            ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","7            ","1            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","1            ","6            ","10           ","7            ","120          ","5            "
"811          ","1            ","1957         ","6            ","22           ","999          ","             ","3            ","4            ","4            ","4            ","4            ","5            ","5            ","5            ","5            ","5            ","999          ","             ","3            ","0            ","0            ","0            ","0            ","0            ","0            ","20           ","2            ","4            ","             ","6            ","7            ","             ","5            ","6            ","8            ","심심해서         ","2            ","1            ","             ","99           ","             ","4            ","3            ","             ","1            ","1            ","4            ","             ","3            ","3            ","             ","             ","                                        ","1            ","             ","9            ","2            ","             ","1            ","2            ","             ","1            ","2            ","4            ","2            ","2            ","2            ","4            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","3            ","                                        ","99           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","1            ","2            ","                                        ","3            ","4            ","             ","1            ","2            ","                                        ","5            ","4            ","3            ","3            ","3            ","3            ","             ","             ","             ","8            ","96           ","                                        ","4            ","10           ","             ","2            ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","4            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","2            ","4            ","10           ","7            ","20           ","5            "
"812          ","1            ","1969         ","4            ","22           ","999          ","             ","5            ","5            ","5            ","5            ","5            ","5            ","4            ","4            ","4            ","4            ","999          ","             ","1            ","0            ","0            ","0            ","0            ","0            ","0            ","30           ","1            ","3            ","             ","2            ","3            ","             ","5            ","1            ","3            ","             ","3            ","1            ","             ","99           ","             ","3            ","1            ","             ","1            ","1            ","12           ","             ","3            ","5            ","1            ","2            ","                                        ","1            ","             ","2            ","4            ","             ","2            ","4            ","             ","1            ","4            ","5            ","3            ","2            ","2            ","5            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","3            ","                                        ","99           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","1            ","2            ","                                        ","1            ","4            ","             ","1            ","2            ","                                        ","4            ","4            ","4            ","4            ","4            ","4            ","1            ","6            ","             ","             ","             ","                                        ","10           ","8            ","             ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","4            ","1            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","2            ","7            ","3            ","6            ","30           ","5            "
"813          ","1            ","1964         ","5            ","22           ","999          ","             ","1            ","1            ","3            ","4            ","3            ","6            ","6            ","6            ","6            ","5            ","999          ","             ","25           ","0            ","0            ","0            ","0            ","0            ","4            ","0            ","1            ","2            ","             ","1            ","8            ","             ","3            ","5            ","1            ","             ","1            ","1            ","             ","2            ","             ","2            ","4            ","             ","1            ","1            ","4            ","             ","6            ","1            ","3            ","8            ","                                        ","1            ","             ","1            ","2            ","             ","2            ","1            ","             ","1            ","5            ","4            ","1            ","2            ","5            ","3            ","1            ","             ","             ","             ","             ","             ","             ","             ","1            ","6            ","7            ","             ","             ","1            ","3            ","             ","3            ","5            ","             ","             ","             ","             ","1            ","             ","             ","             ","1            ","5            ","4            ","5            ","5            ","5            ","4            ","5            ","1            ","                                        ","99           ","             ","4            ","1            ","1            ","             ","             ","5            ","5            ","4            ","4            ","5            ","5            ","4            ","3            ","4            ","5            ","4            ","5            ","999          ","             ","5            ","5            ","2            ","             ","             ","             ","1            ","2            ","4            ","             ","1            ","2            ","1            ","             ","2            ","             ","                                        ","2            ","4            ","             ","3            ","4            ","                                        ","4            ","3            ","5            ","4            ","3            ","5            ","1            ","4            ","             ","             ","             ","                                        ","10           ","9            ","             ","1            ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","6            ","2            ","2            ","2            ","2            ","2            ","1            ","1            ","999          ","             ","2            ","7            ","10           ","5            ","240          ","5            "
"818          ","2            ","1981         ","3            ","22           ","108          ","89           ","1            ","4            ","4            ","4            ","3            ","5            ","4            ","4            ","5            ","5            ","32           ","             ","10           ","0            ","0            ","0            ","0            ","0            ","3            ","30           ","1            ","2            ","             ","2            ","1            ","             ","3            ","6            ","3            ","             ","1            ","7            ","             ","27           ","             ","2            ","4            ","             ","1            ","1            ","12           ","             ","4            ","3            ","             ","             ","                                        ","1            ","             ","6            ","7            ","             ","2            ","1            ","             ","1            ","3            ","4            ","4            ","4            ","3            ","4            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","2            ","                                        ","99           ","             ","2            ","6            ","3            ","2            ","1            ","4            ","4            ","5            ","4            ","4            ","5            ","3            ","3            ","3            ","4            ","4            ","5            ","21           ","4            ","4            ","5            ","2            ","             ","             ","             ","1            ","1            ","2            ","             ","2            ","             ","             ","             ","2            ","4            ","                                        ","2            ","4            ","             ","4            ","1            ","                                        ","3            ","4            ","5            ","5            ","4            ","5            ","1            ","3            ","             ","             ","             ","                                        ","9            ","10           ","             ","1            ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","5            ","3            ","2            ","2            ","2            ","2            ","2            ","2            ","1            ","999          ","             ","2            ","4            ","13           ","7            ","210          ","5            "
"814          ","1            ","1964         ","5            ","22           ","47           ","             ","2            ","3            ","2            ","5            ","3            ","5            ","5            ","4            ","5            ","4            ","999          ","             ","10           ","0            ","0            ","0            ","0            ","0            ","3            ","0            ","1            ","3            ","             ","7            ","6            ","             ","2            ","3            ","7            ","             ","1            ","1            ","             ","99           ","             ","1            ","3            ","             ","1            ","1            ","7            ","             ","5            ","4            ","2            ","7            ","                                        ","1            ","             ","1            ","9            ","             ","2            ","4            ","             ","1            ","4            ","3            ","5            ","2            ","4            ","3            ","1            ","             ","             ","             ","             ","             ","             ","             ","1            ","1            ","             ","             ","             ","3            ","1            ","             ","1            ","3            ","             ","             ","             ","             ","1            ","             ","             ","             ","1            ","5            ","4            ","3            ","4            ","4            ","5            ","5            ","2            ","                                        ","99           ","             ","1            ","1            ","1            ","             ","             ","4            ","5            ","3            ","5            ","4            ","3            ","4            ","4            ","5            ","4            ","5            ","4            ","999          ","             ","5            ","5            ","1            ","4            ","2            ","             ","1            ","2            ","4            ","             ","2            ","             ","             ","             ","6            ","5            ","                                        ","4            ","5            ","             ","2            ","1            ","                                        ","5            ","4            ","3            ","3            ","3            ","5            ","5            ","6            ","             ","             ","             ","                                        ","4            ","10           ","             ","4            ","5            ","             ","             ","             ","             ","             ","             ","             ","             ","4            ","5            ","2            ","2            ","2            ","2            ","2            ","1            ","1            ","999          ","             ","2            ","6            ","2            ","6            ","180          ","5            "
"815          ","1            ","1993         ","2            ","22           ","999          ","             ","5            ","4            ","4            ","4            ","4            ","4            ","4            ","4            ","5            ","5            ","999          ","             ","6            ","10           ","0            ","0            ","0            ","0            ","30           ","0            ","1            ","2            ","             ","3            ","4            ","             ","3            ","1            ","2            ","             ","2            ","7            ","             ","99           ","             ","4            ","3            ","             ","1            ","1            ","2            ","             ","3            ","5            ","2            ","1            ","                                        ","1            ","             ","5            ","7            ","             ","2            ","1            ","             ","1            ","4            ","3            ","4            ","2            ","2            ","3            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","4            ","             ","1            ","5            ","5            ","6            ","6            ","6            ","6            ","5            ","1            ","                                        ","99           ","             ","3            ","4            ","4            ","             ","             ","5            ","4            ","4            ","4            ","3            ","4            ","4            ","5            ","5            ","5            ","5            ","5            ","999          ","             ","5            ","5            ","1            ","4            ","1            ","             ","1            ","2            ","1            ","             ","1            ","2            ","4            ","             ","2            ","1            ","                                        ","5            ","4            ","             ","2            ","1            ","                                        ","5            ","5            ","5            ","5            ","5            ","4            ","6            ","1            ","             ","             ","             ","                                        ","1            ","5            ","             ","1            ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","6            ","7            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","1            ","5            ","12           ","6            ","1800         ","5            "
"816          ","1            ","1993         ","2            ","22           ","97           ","             ","5            ","5            ","5            ","5            ","5            ","4            ","4            ","4            ","5            ","5            ","999          ","             ","6            ","10           ","0            ","0            ","0            ","0            ","0            ","30           ","1            ","3            ","             ","3            ","4            ","             ","4            ","1            ","2            ","             ","2            ","7            ","             ","99           ","             ","2            ","3            ","             ","1            ","8            ","4            ","             ","3            ","4            ","7            ","2            ","                                        ","3            ","             ","7            ","2            ","             ","1            ","2            ","             ","1            ","4            ","3            ","4            ","2            ","2            ","4            ","1            ","             ","             ","             ","             ","             ","             ","             ","1            ","6            ","             ","             ","             ","1            ","2            ","             ","2            ","4            ","             ","             ","             ","             ","4            ","             ","             ","             ","1            ","5            ","4            ","5            ","5            ","6            ","5            ","5            ","6            ","                                        ","99           ","             ","4            ","5            ","4            ","             ","             ","5            ","4            ","5            ","4            ","5            ","4            ","4            ","4            ","4            ","4            ","4            ","5            ","999          ","             ","5            ","5            ","1            ","4            ","1            ","             ","1            ","2            ","4            ","             ","2            ","             ","             ","             ","3            ","1            ","                                        ","4            ","5            ","             ","2            ","3            ","                                        ","5            ","4            ","5            ","4            ","5            ","5            ","1            ","4            ","             ","             ","             ","                                        ","7            ","2            ","             ","2            ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","7            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","1            ","5            ","12           ","6            ","30           ","5            "
"817          ","2            ","1995         ","2            ","22           ","303          ","47           ","2            ","2            ","2            ","4            ","2            ","4            ","5            ","4            ","5            ","5            ","999          ","             ","20           ","0            ","6            ","10           ","10           ","5            ","3            ","0            ","1            ","2            ","             ","1            ","3            ","             ","2            ","5            ","6            ","             ","1            ","7            ","             ","99           ","             ","2            ","4            ","             ","1            ","1            ","13           ","             ","5            ","2            ","1            ","6            ","                                        ","3            ","             ","1            ","2            ","             ","2            ","1            ","             ","1            ","5            ","5            ","5            ","5            ","5            ","3            ","3            ","2            ","1            ","             ","2            ","1            ","13           ","             ","1            ","1            ","2            ","6            ","             ","1            ","3            ","             ","1            ","2            ","5            ","             ","             ","             ","1            ","             ","             ","             ","1            ","5            ","4            ","4            ","4            ","4            ","4            ","5            ","3            ","                                        ","99           ","             ","4            ","3            ","4            ","             ","             ","5            ","5            ","4            ","4            ","4            ","4            ","5            ","4            ","4            ","5            ","5            ","5            ","999          ","             ","5            ","5            ","1            ","4            ","1            ","             ","1            ","2            ","1            ","             ","1            ","2            ","3            ","             ","3            ","2            ","                                        ","2            ","3            ","             ","2            ","4            ","                                        ","5            ","4            ","4            ","5            ","4            ","5            ","5            ","2            ","             ","             ","             ","                                        ","1            ","5            ","             ","1            ","2            ","3            ","7            ","9            ","             ","             ","             ","             ","             ","1            ","6            ","1            ","2            ","1            ","2            ","2            ","2            ","1            ","999          ","             ","1            ","5            ","12           ","7            ","180          ","5            "
"819          ","2            ","1992         ","2            ","22           ","195          ","             ","5            ","5            ","5            ","5            ","5            ","2            ","1            ","2            ","3            ","3            ","999          ","             ","1            ","0            ","1            ","0            ","0            ","0            ","0            ","30           ","1            ","4            ","             ","5            ","4            ","             ","5            ","6            ","             ","             ","3            ","6            ","             ","99           ","             ","4            ","             ","             ","1            ","11           ","7            ","             ","1            ","3            ","             ","             ","                                        ","6            ","             ","6            ","7            ","             ","4            ","8            ","             ","1            ","3            ","4            ","3            ","1            ","1            ","2            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","4            ","                                        ","99           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","1            ","                                        ","2            ","4            ","             ","4            ","5            ","                                        ","5            ","4            ","3            ","2            ","3            ","4            ","1            ","5            ","             ","             ","             ","                                        ","3            ","10           ","             ","6            ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","5            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","1            ","7            ","3            ","5            ","30           ","5            "
"820          ","2            ","1972         ","4            ","22           ","108          ","             ","3            ","3            ","3            ","3            ","3            ","4            ","4            ","4            ","3            ","2            ","212          ","             ","1            ","0            ","2            ","0            ","0            ","0            ","0            ","10           ","1            ","2            ","             ","1            ","3            ","             ","5            ","6            ","7            ","             ","1            ","1            ","             ","3            ","             ","4            ","2            ","             ","1            ","12           ","13           ","             ","3            ","3            ","             ","             ","                                        ","1            ","             ","7            ","9            ","             ","4            ","2            ","             ","1            ","4            ","3            ","2            ","4            ","4            ","4            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","1            ","5            ","4            ","5            ","2            ","4            ","4            ","4            ","3            ","                                        ","99           ","             ","2            ","6            ","1            ","             ","             ","5            ","5            ","4            ","5            ","4            ","4            ","5            ","5            ","4            ","5            ","4            ","5            ","6            ","             ","5            ","5            ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","1            ","2            ","                                        ","4            ","5            ","             ","1            ","2            ","                                        ","5            ","4            ","5            ","4            ","4            ","5            ","5            ","4            ","             ","             ","             ","                                        ","2            ","9            ","             ","7            ","9            ","             ","             ","             ","             ","             ","             ","             ","             ","3            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","3            ","             ","2            ","5            ","10           ","7            ","10           ","5            "
"821          ","2            ","1972         ","4            ","22           ","25           ","114          ","5            ","5            ","5            ","5            ","3            ","5            ","4            ","4            ","4            ","4            ","7            ","             ","5            ","0            ","10           ","0            ","0            ","0            ","0            ","30           ","2            ","5            ","             ","2            ","5            ","             ","3            ","3            ","6            ","             ","1            ","1            ","             ","2            ","             ","3            ","2            ","             ","1            ","1            ","2            ","             ","5            ","5            ","5            ","3            ","                                        ","1            ","             ","2            ","4            ","             ","7            ","2            ","             ","1            ","4            ","3            ","4            ","3            ","4            ","3            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","3            ","                                        ","89           ","             ","1            ","2            ","3            ","1            ","1            ","5            ","4            ","4            ","5            ","5            ","5            ","4            ","4            ","5            ","4            ","5            ","5            ","999          ","             ","5            ","5            ","1            ","4            ","5            ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","4            ","                                        ","4            ","5            ","             ","2            ","             ","                                        ","5            ","4            ","4            ","3            ","3            ","5            ","3            ","6            ","             ","             ","             ","                                        ","10           ","9            ","             ","1            ","7            ","9            ","             ","             ","             ","             ","             ","             ","             ","6            ","7            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","2            ","5            ","1            ","8            ","30           ","5            "
"822          ","1            ","1971         ","4            ","22           ","999          ","             ","5            ","1            ","5            ","1            ","1            ","5            ","5            ","5            ","5            ","5            ","999          ","             ","5            ","100          ","0            ","0            ","100          ","0            ","1            ","0            ","1            ","2            ","             ","2            ","8            ","             ","2            ","7            ","8            ","스트레스 해소      ","1            ","1            ","             ","21           ","             ","3            ","1            ","             ","1            ","3            ","14           ","             ","3            ","4            ","1            ","2            ","                                        ","1            ","             ","1            ","7            ","             ","4            ","7            ","             ","1            ","5            ","5            ","5            ","5            ","2            ","2            ","3            ","2            ","2            ","             ","2            ","2            ","5            ","             ","1            ","8            ","             ","             ","지역공동체 장소     ","2            ","3            ","             ","1            ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","1            ","5            ","4            ","4            ","5            ","3            ","4            ","5            ","3            ","                                        ","99           ","             ","2            ","1            ","3            ","2            ","1            ","4            ","3            ","4            ","5            ","4            ","5            ","5            ","5            ","5            ","4            ","3            ","5            ","999          ","             ","5            ","5            ","1            ","2            ","4            ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","1            ","             ","                                        ","1            ","4            ","             ","1            ","4            ","                                        ","5            ","4            ","5            ","4            ","5            ","4            ","2            ","4            ","             ","             ","             ","                                        ","1            ","4            ","             ","1            ","7            ","8            ","             ","             ","             ","             ","             ","             ","             ","1            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","             ","2            ","5            ","5            ","6            ","60           ","5            "
"823          ","1            ","1976         ","4            ","22           ","999          ","             ","1            ","2            ","5            ","5            ","2            ","5            ","5            ","5            ","5            ","5            ","999          ","             ","6            ","0            ","0            ","0            ","0            ","0            ","0            ","40           ","2            ","3            ","             ","6            ","8            ","             ","3            ","1            ","2            ","             ","1            ","1            ","             ","7            ","             ","3            ","4            ","             ","1            ","1            ","4            ","             ","3            ","3            ","             ","             ","                                        ","1            ","             ","5            ","6            ","             ","1            ","2            ","             ","1            ","3            ","3            ","2            ","3            ","2            ","3            ","3            ","2            ","1            ","             ","4            ","1            ","6            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","1            ","5            ","4            ","5            ","4            ","3            ","3            ","4            ","2            ","                                        ","99           ","             ","1            ","1            ","3            ","1            ","1            ","4            ","4            ","5            ","4            ","5            ","4            ","5            ","4            ","3            ","5            ","4            ","5            ","999          ","             ","4            ","5            ","1            ","4            ","             ","             ","1            ","4            ","             ","             ","2            ","             ","             ","             ","2            ","1            ","                                        ","1            ","3            ","             ","4            ","2            ","                                        ","5            ","4            ","5            ","4            ","5            ","5            ","2            ","3            ","             ","             ","             ","                                        ","1            ","6            ","             ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","6            ","2            ","2            ","2            ","2            ","2            ","2            ","1            ","999          ","             ","2            ","5            ","4            ","6            ","40           ","5            "
"824          ","1            ","1990         ","2            ","22           ","999          ","             ","4            ","4            ","4            ","4            ","4            ","5            ","5            ","5            ","5            ","4            ","999          ","             ","1            ","0            ","0            ","0            ","0            ","0            ","0            ","10           ","4            ","3            ","             ","2            ","4            ","             ","5            ","8            ","1            ","             ","2            ","1            ","             ","99           ","             ","4            ","3            ","             ","1            ","6            ","13           ","             ","3            ","5            ","2            ","4            ","                                        ","4            ","             ","7            ","6            ","             ","5            ","2            ","             ","1            ","5            ","5            ","1            ","1            ","1            ","3            ","1            ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","2            ","             ","             ","             ","             ","             ","             ","             ","3            ","                                        ","99           ","             ","6            ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","             ","             ","             ","2            ","3            ","                                        ","5            ","4            ","             ","1            ","3            ","                                        ","4            ","4            ","4            ","4            ","4            ","4            ","6            ","5            ","             ","             ","             ","                                        ","3            ","4            ","             ","3            ","7            ","             ","             ","             ","             ","             ","             ","             ","             ","1            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","2            ","999          ","             ","1            ","4            ","15           ","5            ","10           ","5            "
